Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_39'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_9'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_65'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_117'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_17'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_36'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_123'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_88'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: <StateMonitor, recording ['v', 'I'] from 'neurongroup'>, Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_129'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_47'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_102'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_71'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_82'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_77'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_19'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_26'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_16'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_24'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_58'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_110'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_93'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: NeuronGroup(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='neurongroup_1'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_134'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: NeuronGroup(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='neurongroup_7'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_104'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_7'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_116'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_132'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: NeuronGroup(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='neurongroup_3'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_128'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_12'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_35'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_98'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_70'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_22'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_28'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
